"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6479","Client App Login ADIDAS ORIGINAL","","2026-04-01","passed","2026-04-01","","StructuredClientApp.spec.js","",""
"","6544","Client App Login ZARA COAT 3","","2026-04-01","passed","2026-04-01","","StructuredClientApp.spec.js","",""
